colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width
Blackened Oak,Woodmatt,Laminate,56863,Laminate Blackened Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blackened-oak/,2025-08-21T05:16:02Z,Woodmatt,0.7,1825,680
Blackened Oak,Woodmatt,Laminate,56862,Laminate Blackened Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blackened-oak/,2025-08-21T05:16:05Z,Woodmatt,0.7,1825,1360
Dark Batten Oak,Woodmatt,Laminate,57273,Laminate Dark Batten Oak Woodmatt 0.7mm 3650x1220,1,In stock at your branch,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/dark-batten-oak/,2025-08-21T05:16:41Z,Woodmatt,0.7,3650,1220
Batten Oak,Woodmatt,Laminate,56261,Laminate Batten Oak Woodmatt 0.7mm 3650x1220,1,In stock at your branch,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/batten-oak/,2025-08-21T05:17:08Z,Woodmatt,0.7,3650,1220
Danish Rattan,Woodmatt,Laminate,56523,Laminate Danish Rattan Woodmatt 0.7mm 3650x1220,1,In stock at your branch,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/danish-rattan/,2025-08-21T05:17:28Z,Woodmatt,0.7,3650,1220
Swiss Rattan,Woodmatt,Laminate,56519,Laminate Swiss Rattan Woodmatt 0.7mm 3650x1220,1,In stock at your branch,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/swiss-rattan/,2025-08-21T05:17:40Z,Woodmatt,0.7,3650,1220
Italian Cotton,Matt,Laminate,55501,Laminate Italian Cotton Matt 0.7mm 3650x1220,1,In stock at your branch,$181.95*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/italian-cotton/,2025-08-21T05:17:53Z,Matt,0.7,3650,1220
Natural Cotton,Matt,Laminate,55502,Laminate Natural Cotton Matt 0.7mm 3650x1220,1,In stock at your branch,$181.95*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/natural-cotton/,2025-08-21T05:18:06Z,Matt,0.7,3650,1220
Aston White,Smooth,Laminate,52113,Laminate Aston White Smooth 0.7mm 3650 x 1220,1,In stock at your branch,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/aston-white/,2025-08-21T05:18:50Z,Smooth,0.7,3650,1220
Gossamer White,Ravine,Laminate,55482,Laminate Gossamer White Ravine 0.7mm 3650x1220,1,In stock at your branch,$258.94*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/gossamer-white/,2025-08-21T05:19:27Z,Ravine,0.7,3650,1220
Gossamer White,Smooth,Laminate,57552,Laminate Gossamer White Smooth 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/gossamer-white/,2025-08-21T05:19:42Z,Smooth,0.7,3650,1360
Gossamer White,Smooth,Laminate,57610,Laminate Gossamer White Smooth HL 0.7mm 3650x680,1,In stock at your branch,$117.47*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/gossamer-white/,2025-08-21T05:19:45Z,Smooth,0.7,3650,680
Gossamer White,Smooth,Laminate,57737,Laminate Gossamer White Smooth Q 0.7mm 1825x680,1,In stock at your branch,$51.69*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/gossamer-white/,2025-08-21T05:19:48Z,Smooth,0.7,1825,680
Gossamer White,Smooth,Laminate,57735,Laminate Gossamer White Smooth HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/gossamer-white/,2025-08-21T05:19:51Z,Smooth,0.7,1825,1360
Verdelho,Smooth,Laminate,57827,Laminate Verdelho Smooth 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/verdelho/,2025-08-21T05:20:25Z,Smooth,0.7,3650,1360
Verdelho,Smooth,Laminate,57828,Laminate Verdelho Smooth HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/verdelho/,2025-08-21T05:20:28Z,Smooth,0.7,3650,680
Verdelho,Smooth,Laminate,57830,Laminate Verdelho Smooth Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/verdelho/,2025-08-21T05:20:31Z,Smooth,0.7,1825,680
Verdelho,Smooth,Laminate,57829,Laminate Verdelho Smooth HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/verdelho/,2025-08-21T05:20:34Z,Smooth,0.7,1825,1360
Pallido,Smooth,Laminate,57821,Laminate Pallido Smooth HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/pallido/,2025-08-21T05:21:00Z,Smooth,0.7,1825,1360
Pallido,Smooth,Laminate,57819,Laminate Pallido Smooth 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/pallido/,2025-08-21T05:21:03Z,Smooth,0.7,3650,1360
Pallido,Smooth,Laminate,57822,Laminate Pallido Smooth Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/pallido/,2025-08-21T05:21:06Z,Smooth,0.7,1825,680
Pallido,Smooth,Laminate,57820,Laminate Pallido Smooth HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/pallido/,2025-08-21T05:21:09Z,Smooth,0.7,3650,680
Elemental Grey,Ravine,Laminate,55629,Laminate Elemental Grey Ravine 0.7mm 3650x1220,1,In stock at your branch,$258.94*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/elemental-grey/,2025-08-21T05:21:43Z,Ravine,0.7,3650,1220
Elemental Grey,Smooth,Laminate,57816,Laminate Elemental Grey Smooth HL 0.7mm 3650x680,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/elemental-grey/,2025-08-21T05:21:58Z,Smooth,0.7,3650,680
