colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width,minimum_order_qty,order_multiple
Gossamer White,Ravine,Laminate,55482,Laminate Gossamer White Ravine 0.7mm 3650x1220,1,In stock at your branch,$258.94*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/gossamer-white/,2025-08-21T06:47:27Z,Ravine,0.7,3650,1220,1,1
Gossamer White,Smooth,Laminate,57552,Laminate Gossamer White Smooth 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/gossamer-white/,2025-08-21T06:47:32Z,Smooth,0.7,3650,1360,1,1
Gossamer White,Smooth,Laminate,57610,Laminate Gossamer White Smooth HL 0.7mm 3650x680,1,In stock at your branch,$117.47*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/gossamer-white/,2025-08-21T06:47:33Z,Smooth,0.7,3650,680,1,1
Gossamer White,Smooth,Laminate,57737,Laminate Gossamer White Smooth Q 0.7mm 1825x680,1,In stock at your branch,$51.69*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/gossamer-white/,2025-08-21T06:47:34Z,Smooth,0.7,1825,680,1,1
Gossamer White,Smooth,Laminate,57735,Laminate Gossamer White Smooth HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/gossamer-white/,2025-08-21T06:47:36Z,Smooth,0.7,1825,1360,1,1
Verdelho,Smooth,Laminate,57827,Laminate Verdelho Smooth 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/verdelho/,2025-08-21T06:47:49Z,Smooth,0.7,3650,1360,1,1
Verdelho,Smooth,Laminate,57828,Laminate Verdelho Smooth HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/verdelho/,2025-08-21T06:47:50Z,Smooth,0.7,3650,680,1,1
Verdelho,Smooth,Laminate,57830,Laminate Verdelho Smooth Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/verdelho/,2025-08-21T06:47:51Z,Smooth,0.7,1825,680,1,1
Verdelho,Smooth,Laminate,57829,Laminate Verdelho Smooth HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/verdelho/,2025-08-21T06:47:52Z,Smooth,0.7,1825,1360,1,1
Pallido,Smooth,Laminate,57821,Laminate Pallido Smooth HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/pallido/,2025-08-21T06:48:03Z,Smooth,0.7,1825,1360,1,1
Pallido,Smooth,Laminate,57819,Laminate Pallido Smooth 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/pallido/,2025-08-21T06:48:05Z,Smooth,0.7,3650,1360,1,1
Pallido,Smooth,Laminate,57822,Laminate Pallido Smooth Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/pallido/,2025-08-21T06:48:06Z,Smooth,0.7,1825,680,1,1
Pallido,Smooth,Laminate,57820,Laminate Pallido Smooth HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/pallido/,2025-08-21T06:48:07Z,Smooth,0.7,3650,680,1,1
Elemental Grey,Ravine,Laminate,55629,Laminate Elemental Grey Ravine 0.7mm 3650x1220,1,In stock at your branch,$258.94*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/elemental-grey/,2025-08-21T06:48:20Z,Ravine,0.7,3650,1220,1,1
Elemental Grey,Smooth,Laminate,57816,Laminate Elemental Grey Smooth HL 0.7mm 3650x680,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/elemental-grey/,2025-08-21T06:48:26Z,Smooth,0.7,3650,680,1,1
Elemental Grey,Smooth,Laminate,57818,Laminate Elemental Grey Smooth Q 0.7mm 1825x680,1,Place order to confirm availability,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/elemental-grey/,2025-08-21T06:48:27Z,Smooth,0.7,1825,680,1,1
Elemental Grey,Smooth,Laminate,57815,Laminate Elemental Grey Smooth 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/elemental-grey/,2025-08-21T06:48:28Z,Smooth,0.7,3650,1360,1,1
Elemental Grey,Smooth,Laminate,57817,Laminate Elemental Grey Smooth HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/elemental-grey/,2025-08-21T06:48:29Z,Smooth,0.7,1825,1360,1,1
Agave,Smooth,Laminate,52115,Laminate Agave Smooth 0.7mm 3650 x 1220,1,In stock at your branch,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/agave/,2025-08-21T06:48:39Z,Smooth,0.7,3650,1220,1,1
Topiary,Smooth,Laminate,57823,Laminate Topiary Smooth 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/topiary/,2025-08-21T06:48:59Z,Smooth,0.7,3650,1360,1,1
Topiary,Smooth,Laminate,57824,Laminate Topiary Smooth HL 0.7mm 3650x680,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/topiary/,2025-08-21T06:49:00Z,Smooth,0.7,3650,680,1,1
Topiary,Smooth,Laminate,57825,Laminate Topiary Smooth HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/topiary/,2025-08-21T06:49:01Z,Smooth,0.7,1825,1360,1,1
Topiary,Smooth,Laminate,57826,Laminate Topiary Smooth Q 0.7mm 1825x680,1,Place order to confirm availability,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/topiary/,2025-08-21T06:49:03Z,Smooth,0.7,1825,680,1,1
Oasis,Smooth,Laminate,52116,Laminate Oasis Smooth 0.7mm 3650x1220,1,In stock at your branch,$210.76*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/oasis/,2025-08-21T06:49:22Z,Smooth,0.7,3650,1220,1,1
Forage,Smooth,Laminate,52122,Laminate Forage Smooth 0.7mm 3650x1220,1,In stock at your branch,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/forage/,2025-08-21T06:49:45Z,Smooth,0.7,3650,1220,1,1
Mercurio Grey,Smooth,Laminate,52805,Laminate Mercurio Grey Smooth 0.7mm 3650 x 1220,1,In stock at your branch,$210.76*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/mercurio-grey/,2025-08-21T06:50:04Z,Smooth,0.7,3650,1220,1,1
Habitat,Smooth,Laminate,57831,Laminate Habitat Smooth 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/habitat/,2025-08-21T06:50:14Z,Smooth,0.7,3650,1360,1,1
Habitat,Smooth,Laminate,57832,Laminate Habitat Smooth HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/habitat/,2025-08-21T06:50:15Z,Smooth,0.7,3650,680,1,1
Habitat,Smooth,Laminate,57834,Laminate Habitat Smooth Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/habitat/,2025-08-21T06:50:16Z,Smooth,0.7,1825,680,1,1
Habitat,Smooth,Laminate,57833,Laminate Habitat Smooth HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/habitat/,2025-08-21T06:50:17Z,Smooth,0.7,1825,1360,1,1
Ferro,Matt,Laminate,50775,Laminate Ferro Matt 0.7mm 3650x1220 - Film,1,In stock at your branch,$181.95*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/ferro/,2025-08-21T06:50:33Z,Matt,0.7,3650,1220,1,1
Adriatic,Smooth,Laminate,52118,Laminate Adriatic Smooth 0.7mm 3650 x 1220,1,In stock at your branch,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/adriatic/,2025-08-21T06:50:52Z,Smooth,0.7,3650,1220,1,1
Arabica,Smooth,Laminate,52120,Laminate Arabica Smooth 0.7mm 3650 x 1220,1,In stock at supply site,$210.76*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/arabica/,2025-08-21T06:51:07Z,Smooth,0.7,3650,1220,1,1
Botanic,Smooth,Laminate,52121,Laminate Botanic Smooth 0.7mm 3650x1220,1,In stock at your branch,$210.76*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/botanic/,2025-08-21T06:51:27Z,Smooth,0.7,3650,1220,1,1
Oxford,Matt,Laminate,49700,Laminate Oxford Matt 0.7mm 3650x1220 - Film,1,In stock at your branch,$181.95*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/oxford/,2025-08-21T06:51:42Z,Matt,0.7,3650,1220,1,1
